Name of Entity,Dates of Breach,Type of Breach,Individuals Affected,State Reported,Start Date of Breach
"Securus Technologies, Inc.",6/8/2018,unauthorized access,25 (in Maryland),Maryland,2018-06-08
"Equivity, Inc.",6/8/2018,info inadvertently included in a legitimate request,23 (in Maryland),Maryland,2018-06-08
"Health Management Concepts, Inc.",6/11/2018,ransomware,33 (in Maryland),Maryland,2018-06-11
"Health Management Concepts, Inc.",6/11/2018,ransomware,33 (in Maryland),Maryland,2018-06-11
Weichert Co.,6/11/2018,unauthorized access,235 (in Maryland),Maryland,2018-06-11
"CAF USA, Inc.",6/11/2018,malware,5 (in Maryland),Maryland,2018-06-11
"Guaranteed Rate, Inc.",6/12/2018,improper and unauthorized access by former employee,13 (in Maryland),Maryland,2018-06-12
Marion County Bank,6/12/2018,unauthorized access to employee email account,2 (in Maryland),Maryland,2018-06-12
Energy Management Systems,6/12/2018,phishing,2 (in Maryland),Maryland,2018-06-12
"HRU, Inc.",6/12/2018,unauthorized access to employee email,1 (in Maryland),Maryland,2018-06-12
"HRU, Inc.",6/12/2018,info inadvertently accessible in group email system,9 (in Maryland),Maryland,2018-06-12
Central Christian College of Kansas,6/12/2018,info inadvertently accessible in group email system,9 (in Maryland),Maryland,2018-06-12
Central Christian College of Kansas,6/12/2018,info inadvertently accessible in group email system,9 (in Maryland),Maryland,2018-06-12
"HealthEquity, Inc.",6/13/2018,unauthorized access to employee email account,46 (in Maryland),Maryland,2018-06-13
"OFD Foods, LLC",6/13/2018,malware,10 (in Maryland),Maryland,2018-06-13
"OFD Foods, LLC",6/13/2018,malware,10 (in Maryland),Maryland,2018-06-13
"OFD Foods, LLC",6/13/2018,malware,10 (in Maryland),Maryland,2018-06-13
New England Baptist Hospital,6/13/2018,info sent due to technical issue/inadvertent error,7 (in Maryland),Maryland,2018-06-13
Ithaca College,6/13/2018,ransomware,41 (in Maryland),Maryland,2018-06-13
America&#39;s Essential Hospitals,6/13/2018,unauthorized access to employee email account, (in Maryland),Maryland,2018-06-13
"Manchester Capital Management, LLC",6/13/2018,stolen during burglary,2 (in Maryland),Maryland,2018-06-13
"Med Associates, Inc.",6/14/2018,unauthorized access,36 (in Maryland),Maryland,2018-06-14
SunTrust Bank,6/14/2018,info inadvertently given to wrong recipient,3 (in Maryland),Maryland,2018-06-14
"shopPOPdisplays, Inc.",6/14/2018,malware,48 (in Maryland),Maryland,2018-06-14
World Wildlife Fund,6/14/2018,unauthorized access to employee email access,1 (in Maryland),Maryland,2018-06-14
Pilot Chemical Company,6/14/2018,unauthorized access to employee email account,2 (in Maryland),Maryland,2018-06-14
POPSUGAR,6/14/2018,unauthorized access,"4,002 (in Maryland)",Maryland,2018-06-14
intuit Inc.,6/15/2018,unauthorized access,11 (in Maryland),Maryland,2018-06-15
Genworth Life Insurance Company,6/15/2018,laptop stolen during burglary,1 (in Maryland),Maryland,2018-06-15
Genworth Life Insurance Company,6/15/2018,laptop stolen during burglary,1 (in Maryland),Maryland,2018-06-15
C-P Flexible Packaging,6/15/2018,ransomware,7 (in Maryland),Maryland,2018-06-15
C-P Flexible Packaging,6/15/2018,ransomware,7 (in Maryland),Maryland,2018-06-15
"Citizens Financial Group, Inc.",6/15/2018,skimmer,1 (in Maryland),Maryland,2018-06-15
MyHeritage Ltd.,6/15/2018,file named myheritage containing email addresses and hashed passwords located on a private server outside of MyHeritage,"356,824 (in Maryland)",Maryland,2018-06-15
"Seterus, Inc.",6/18/2018,info mailed to wrong address,1 (in Maryland),Maryland,2018-06-18
GreatBanc Trust Company,6/18/2018,phishing,79 (in Maryland),Maryland,2018-06-18
"Weil, Akman, Bayling &amp; Coleman, P.A.",6/18/2018,unauthorized access to employee email account,"2,840 (in Maryland)",Maryland,2018-06-18
Hasbro Inc.,6/19/2018,unauthorized access,1 (in Maryland),Maryland,2018-06-19
The Educational Employees&#39; Supplementary Retirement System of Fairfax County,6/19/2018,inadvertent mailing error, (in Maryland),Maryland,2018-06-19
City of Goodyear,6/19/2018,unauthorized access,5 (in Maryland),Maryland,2018-06-19
Hasbro Inc.,6/19/2018,unauthorized access,1 (in Maryland),Maryland,2018-06-19
"360 Mortgage Group, LLC",6/19/2018,unauthorized access to employee email account,2 (in Maryland),Maryland,2018-06-19
Population Connection,6/19/2018,info improperly included in personal email,4 (in Maryland),Maryland,2018-06-19
"Total Phase, Inc.",6/20/2018,malware,15 (in Maryland),Maryland,2018-06-20
Penn Mutual LIfe Insurance Company,6/20/2018,unauthorized access,1 (in Maryland),Maryland,2018-06-20
Notre Dame de Namur University,6/20/2018,unauthorized access to employee email,3 (in Maryland),Maryland,2018-06-20
"RevUp Group, LLC d/b/a RevUp Sports",6/20/2018,malware,79 (in Maryland),Maryland,2018-06-20
Tuskegee University,6/21/2018,unauthorized access to employee email accounts,349 (in Maryland),Maryland,2018-06-21
"LOccitane, Inc. d/b/a LOccitane en Provence",6/21/2018,unauthorized access,2 (in Maryland),Maryland,2018-06-21
Tuskegee University,6/21/2018,unauthorized access to employee email accounts,349 (in Maryland),Maryland,2018-06-21
Capital Integration Systems LLC,6/21/2018,phishing,181 (in Maryland),Maryland,2018-06-21
Allsup,6/22/2018,info inadvertently emailed to wrong recipient,1 (in Maryland),Maryland,2018-06-22
"Passport, Inc.",6/22/2018,unauthorized access,5 (in Maryland),Maryland,2018-06-22
"Conn Maciel Carey, LLP",6/22/2018,unauthorized access to employee email,1 (in Maryland),Maryland,2018-06-22
"Conn Maciel Carey, LLP",6/22/2018,unauthorized access to employee email,1 (in Maryland),Maryland,2018-06-22
"DiCicco, Gulman &amp; Company LLP",6/22/2018,unauthorized access to email account,7 (in Maryland),Maryland,2018-06-22
"Thomas Chandler Thomas &amp; Hinshaw, LLP",6/25/2018,unauthorized access,10 (in Maryland),Maryland,2018-06-25
Boutwell Fay LLP,6/25/2018,unauthorized access to employee email account,1 (in Maryland),Maryland,2018-06-25
Boutwell Fay LLP,6/25/2018,unauthorized access to employee email account,1 (in Maryland),Maryland,2018-06-25
"Thomas Chandler Thomas &amp; Hinshaw, LLP",6/25/2018,unauthorized access,10 (in Maryland),Maryland,2018-06-25
"Foundation Building Materials, LLC",6/25/2018,phishing,3 (in Maryland),Maryland,2018-06-25
Solera National Bank,6/26/2018,unauthorized access to email account,27 (in Maryland),Maryland,2018-06-26
Solera National Bank,6/26/2018,unauthorized access to email account,27 (in Maryland),Maryland,2018-06-26
"Dollar Shave Club, Inc.",6/27/2018,unauthorized access,19 (in Maryland),Maryland,2018-06-27
"Dollar Shave Club, Inc.",6/27/2018,unauthorized access,19 (in Maryland),Maryland,2018-06-27
"TRI Pointe Group, Inc.",6/27/2018,info improperly emailed to personal email address,69 (in Maryland),Maryland,2018-06-27
"Mar-Chek, Inc.",6/27/2018,inadvertently included in email,397 (in Maryland),Maryland,2018-06-27
"Mar-Chek, Inc.",6/27/2018,inadvertently included in email,397 (in Maryland),Maryland,2018-06-27
"Mar-Chek, Inc.",6/27/2018,inadvertently included in email,397 (in Maryland),Maryland,2018-06-27
SGS North America Inc.,6/28/2018,unauthorized access to employee email account,4 (in Maryland),Maryland,2018-06-28
"SOS Intl, LLC",6/28/2018,unauthorized access to employee email account,1 (in Maryland),Maryland,2018-06-28
"SOS Intl, LLC",6/28/2018,unauthorized access to employee email account,1 (in Maryland),Maryland,2018-06-28
"Waller &amp; Associates, Inc.",6/29/2018,unauthorized access,"1,073 (in Maryland)",Maryland,2018-06-29
Spinnaker Trust,6/29/2018,unauthorized access to employee email account,1 (in Maryland),Maryland,2018-06-29
"Waller &amp; Associates, Inc.",6/29/2018,unauthorized access,"1,073 (in Maryland)",Maryland,2018-06-29
Arkansas Childrens Hospital,6/29/2018,improper use of info by former employee,1 (in Maryland),Maryland,2018-06-29
"TCI Holdings, Inc.",6/29/2018,unauthorized access to employee email account,3 (in Maryland),Maryland,2018-06-29
"Pacific Management, Inc.",6/29/2018,unauthorized access to employee email account,1 (in Maryland),Maryland,2018-06-29
"The Paquin Healthcare Companies, Inc.",7/2/2018,unauthorized access,3 (in Maryland),Maryland,2018-07-02
Rochester Institute of Technology,7/2/2018,malware,3 (in Maryland),Maryland,2018-07-02
Northwest University,7/2/2018,unauthorized access to employee email account,2 (in Maryland),Maryland,2018-07-02
Toyo Tire Holdings of Americas Inc.,7/2/2018,unauthorized access,7 (in Maryland),Maryland,2018-07-02
Montgomery County Community College,7/3/2018,unauthorized access to email,1 (in Maryland),Maryland,2018-07-03
"Naviaux Dubow &amp; Harris, LLC",7/3/2018,phishing,2 (in Maryland),Maryland,2018-07-03
"MSK Group, P.C.",7/5/2018,unauthorized access to network,207 (in Maryland),Maryland,2018-07-05
The Village of Wellington,7/5/2018,unauthorized access,6 (in Maryland),Maryland,2018-07-05
"The Information and Referral Federation of Los Angeles County, Inc., DBA 211 LA County",7/5/2018,info accessible via the internet,37 (in Maryland),Maryland,2018-07-05
"The Information and Referral Federation of Los Angeles County, Inc., DBA 211 LA County",7/5/2018,info accessible via the internet,37 (in Maryland),Maryland,2018-07-05
Cushman and Wakefield,7/5/2018,phishing, (in Maryland),Maryland,2018-07-05
Interstate Batteries,7/5/2018,phishing,1 (in Maryland),Maryland,2018-07-05
Pastoral,7/6/2018,malware,1 (in Maryland),Maryland,2018-07-06
International Mission Board,7/6/2018,unauthorized access,955 (in Maryland),Maryland,2018-07-06
Jewish Federation of Cincinnati,7/9/2018,hard drives stolen from laptop computer,10 (in Maryland),Maryland,2018-07-09
ASRC Federal Holding Company,7/9/2018,unauthorized access,12 (in Maryland),Maryland,2018-07-09
Jewish Federation of Cincinnati,7/9/2018,hard drives stolen from laptop computer,10 (in Maryland),Maryland,2018-07-09
"MedEvolve, Inc.",7/9/2018,info inadvertently accessible to the internet,994 (in Maryland),Maryland,2018-07-09
"MedEvolve, Inc.",7/9/2018,info inadvertently accessible to the internet,994 (in Maryland),Maryland,2018-07-09
"Westfield, LLC",7/10/2018,unauthorized access to email accounts, (in Maryland),Maryland,2018-07-10
"The Fruitful Yield, Inc.",7/10/2018,unauthorized access,10 (in Maryland),Maryland,2018-07-10
"The Fruitful Yield, Inc.",7/10/2018,unauthorized access,10 (in Maryland),Maryland,2018-07-10
"The Fruitful Yield, Inc.",7/10/2018,unauthorized access,10 (in Maryland),Maryland,2018-07-10
"Tommie Copper, Inc.",7/11/2018,malware,687 (in Maryland),Maryland,2018-07-11
Dunkin Brands Inc.,7/11/2018,misuse by call center employee,11 (in Maryland),Maryland,2018-07-11
Southern College of Optometry,7/11/2018,unauthorized access to email account,3 (in Maryland),Maryland,2018-07-11
The Interstate National Gas Association of America,7/13/2018,spear-phishing,1 (in Maryland),Maryland,2018-07-13
"Dane Street, LLC",7/13/2018,potentially improper access by employee,100 (in Maryland),Maryland,2018-07-13
"Jenny Yoo Collection, Inc.",7/13/2018,malware,1 (in Maryland),Maryland,2018-07-13
The Prudential Insurance Company of America,7/13/2018,unauthorized access, (in Maryland),Maryland,2018-07-13
Platinum Partners Credit Opportunities Master Fund LP,7/13/2018,unauthorized access to email,1 (in Maryland),Maryland,2018-07-13
Wor-Wic Community College,7/13/2018,phishing,1 (in Maryland),Maryland,2018-07-13
Howard University,7/13/2018,phishing,55 (in Maryland),Maryland,2018-07-13
"Sanford Heisler Sharp, LLP",7/13/2018,phishing,11 (in Maryland),Maryland,2018-07-13
"City of Bozeman, Montana",7/16/2018,malware, (in Maryland),Maryland,2018-07-16
"City of Bozeman, Montana",7/16/2018,malware, (in Maryland),Maryland,2018-07-16
BioMarin Pharmaceutical Inc.,7/16/2018,phishing,1 (in Maryland),Maryland,2018-07-16
BioMarin Pharmaceutical Inc.,7/16/2018,phishing,1 (in Maryland),Maryland,2018-07-16
"Pinnacle Trailer Sales, Inc.",7/16/2018,phishing,13 (in Maryland),Maryland,2018-07-16
"EBSCO Sign Group, Inc.",7/16/2018,malware,16 (in Maryland),Maryland,2018-07-16
"STX, LLC",7/16/2018,malware,5 (in Maryland),Maryland,2018-07-16
"Heacock Insurance Group, LLC",7/17/2018,unauthorized access to employee email accounts,3 (in Maryland),Maryland,2018-07-17
"Complyright, Inc.",7/17/2018,unauthorized access,"11,842 (in Maryland)",Maryland,2018-07-17
"Ruben U. Carvajal, MD",7/17/2018,unauthorized access,1 (in Maryland),Maryland,2018-07-17
"CBIZ MHM, LLC",7/18/2018,phishing,4 (in Maryland),Maryland,2018-07-18
"Blue Springs Family Care, P.C.",7/18/2018,ransomware,6 (in Maryland),Maryland,2018-07-18
"Kaplan, Plavin, &amp; Steinhardt, LLP",7/19/2018,unauthorized access to cloud-based document management systems, (in Maryland),Maryland,2018-07-19
Simma Flottemesch &amp; Orensteinin,7/19/2018,unauthorized access to email account,4 (in Maryland),Maryland,2018-07-19
Fairbanks North Star Borough,7/19/2018,ransomware,11 (in Maryland),Maryland,2018-07-19
"Helly Hansen, AS",7/19/2018,malware,45 (in Maryland),Maryland,2018-07-19
"Matrix Design Group, Inc.",7/20/2018,unauthorized access to email, (in Maryland),Maryland,2018-07-20
"Matrix Design Group, Inc.",7/20/2018,unauthorized access to email, (in Maryland),Maryland,2018-07-20
"Stoneleigh Recovery Associates, LLC",7/20/2018,info inadvertently not redacted,3 (in Maryland),Maryland,2018-07-20
"Stoneleigh Recovery Associates, LLC",7/20/2018,info inadvertently not redacted,3 (in Maryland),Maryland,2018-07-20
"ConnectYourCare, LLC",7/23/2018,unauthorized access,2 (in Maryland),Maryland,2018-07-23
"MidAtlantic Farm Credit, ACA",7/23/2018,unauthorized access,1 (in Maryland),Maryland,2018-07-23
"Optoma Technology, Inc.",7/23/2018,unauthorized access to companyâ€™s online product order system,19 (in Maryland),Maryland,2018-07-23
"Moore Stephens Tiller, LLC",7/23/2018,phishing,1 (in Maryland),Maryland,2018-07-23
HSBC,7/23/2018,error linking customer info,8 (in Maryland),Maryland,2018-07-23
HSBC,7/23/2018,error linking customer info,8 (in Maryland),Maryland,2018-07-23
"CooperVision, Inc.",7/24/2018,unauthorized access to email account,1 (in Maryland),Maryland,2018-07-24
"TradeMotion, LLC",7/24/2018,unauthorized access,"2,301 (in Maryland)",Maryland,2018-07-24
"Councilor, Buchanan &amp; Mitchell P.C.",7/24/2018,phishing,83 (in Maryland),Maryland,2018-07-24
Automated Pet Care Products,7/24/2018,unauthorized access,52 (in Maryland),Maryland,2018-07-24
Automated Pet Care Products,7/24/2018,unauthorized access,52 (in Maryland),Maryland,2018-07-24
Automated Pet Care Products,7/24/2018,unauthorized access,52 (in Maryland),Maryland,2018-07-24
"Welk Resort Group, Inc.",7/25/2018,unauthorized access to email account,5 (in Maryland),Maryland,2018-07-25
ZP Group,7/26/2018,unauthorized access to email account,191 (in Maryland),Maryland,2018-07-26
Yale University,7/26/2018,unauthorized access to database,"2,825 (in Maryland)",Maryland,2018-07-26
Yale University,7/26/2018,unauthorized access to database,"2,825 (in Maryland)",Maryland,2018-07-26
"SVAM International, Inc.",7/26/2018,unauthorized access to employee email accounts,2 (in Maryland),Maryland,2018-07-26
"Citizens Financial Group, Inc.",7/26/2018,vehicle burglarized,2 (in Maryland),Maryland,2018-07-26
"Citizens Financial Group, Inc.",7/26/2018,vehicle burglarized,2 (in Maryland),Maryland,2018-07-26
Sunspire Health,7/27/2018,phishing,61 (in Maryland),Maryland,2018-07-27
Plant Therapy,7/30/2018,malware,220 (in Maryland),Maryland,2018-07-30
Clarkson PLC,7/30/2018,ransomware,10 (in Maryland),Maryland,2018-07-30
"National DCP, LLC",7/31/2018,unauthorized access to sharepoint system,2 (in Maryland),Maryland,2018-07-31
Dearborn National Life Insurance Company,7/31/2018,unauthorized access to benefits manager portal, (in Maryland),Maryland,2018-07-31
"Fora Financial, LLC",7/31/2018,improper access by employee,2 (in Maryland),Maryland,2018-07-31
"Irwin S. Alpern, P.C.",7/31/2018,unauthorized access,1 (in Maryland),Maryland,2018-07-31
"National DCP, LLC",7/31/2018,unauthorized access to sharepoint system,2 (in Maryland),Maryland,2018-07-31
"National DCP, LLC",7/31/2018,unauthorized access to sharepoint system,2 (in Maryland),Maryland,2018-07-31
Kennedy Krieger Institute,7/31/2018,info inadvertently sent to wrong recipient,1 (in Maryland),Maryland,2018-07-31
GSP Financial + Advisory,8/1/2018,inadvertently sent via email,1 (in Maryland),Maryland,2018-08-01
Bank of Hope,8/1/2018,inadvertently posted on publicly accessible website,7 (in Maryland),Maryland,2018-08-01
"Dorian Business Systems, LLC",8/2/2018,phishing,2 (in Maryland),Maryland,2018-08-02
"Concept Title Services, Inc.",8/2/2018,USB drive lost/stolen during mailing,9 (in Maryland),Maryland,2018-08-02
Yoakum National Bank,8/2/2018,unauthorized access to employee email account,1 (in Maryland),Maryland,2018-08-02
"G Petrov &amp; Associates, LLC",8/3/2018,improper access by recently terminated employee,0 (in Maryland),Maryland,2018-08-03
Highland Central School District,8/3/2018,email error,1 (in Maryland),Maryland,2018-08-03
"North American Power &amp; Gas, LLC",8/3/2018,info inadvertently accessible on the internet,242 (in Maryland),Maryland,2018-08-03
"CoreSource, Inc.",8/3/2018,info inadvertently shared with client,41 (in Maryland),Maryland,2018-08-03
"TCM Bank, N.A.",8/3/2018,website misconfigured,302 (in Maryland),Maryland,2018-08-03
Colorado Bankers Life Insurance Company,8/3/2018,phishing,"20,318 (in Maryland)",Maryland,2018-08-03
"Walker Advertising, LLC",8/3/2018,unauthorized use of a Company employeeâ€™s e-mail account,2 (in Maryland),Maryland,2018-08-03
"Walker Advertising, LLC",8/3/2018,unauthorized use of a Company employeeâ€™s e-mail account,2 (in Maryland),Maryland,2018-08-03
"Our Honeymoon Wishes, Inc.",8/3/2018,unauthorized access,6 (in Maryland),Maryland,2018-08-03
"TargetSt8 Consulting, LLC",8/4/2018,phishing,1 (in Maryland),Maryland,2018-08-04
Bank of America,8/6/2018,phishing,30 (in Maryland),Maryland,2018-08-06
"Feld Entertainment, Inc.",8/6/2018,phishing,38 (in Maryland),Maryland,2018-08-06
American Institute of Aeronautics and Astronautics,8/7/2018,phishing,37 (in Maryland),Maryland,2018-08-07
State Employees Credit Union of Maryland (SECU),8/8/2018,skimming device, (in Maryland),Maryland,2018-08-08
Anne Arundel Dermatology,8/8/2018,burglary,"1,294 (in Maryland)",Maryland,2018-08-08
Anne Arundel Dermatology,8/8/2018,burglary,"1,294 (in Maryland)",Maryland,2018-08-08
"WellCare Health Plans, Inc.",8/10/2018,unauthorized access,1 (in Maryland),Maryland,2018-08-10
REED Millwork Corporation,8/10/2018,ransomware, (in Maryland),Maryland,2018-08-10
Loyola University of Chicago,8/10/2018,unauthorized access,7 (in Maryland),Maryland,2018-08-10
Equifax Information Services LLC,8/13/2018,unauthorized access to accounting system,4 (in Maryland),Maryland,2018-08-13
"Brown Constuction Services, Inc.",8/13/2018,unauthorized access to email account,1 (in Maryland),Maryland,2018-08-13
"Authentic Recovery, LLC",8/14/2018,unauthorized access to employee email account,3 (in Maryland),Maryland,2018-08-14
Delicato Vineyards,8/14/2018,unauthorized access,3 (in Maryland),Maryland,2018-08-14
Druva,8/15/2018,stolen laptop,1 (in Maryland),Maryland,2018-08-15
Druva,8/15/2018,stolen laptop,1 (in Maryland),Maryland,2018-08-15
Plan International USA,8/16/2018,improper use by former employee,16 (in Maryland),Maryland,2018-08-16
LA Fashion Enterprise LTD,8/16/2018,malware,20 (in Maryland),Maryland,2018-08-16
Animoto Inc.,8/16/2018,unauthorized access,"67,186 (in Maryland)",Maryland,2018-08-16
"Evaluserve, Inc.",8/16/2018,unauthorized access,1 (in Maryland),Maryland,2018-08-16
"OMNIA Partners, Inc.",8/16/2018,phishing,2 (in Maryland),Maryland,2018-08-16
Dallas County Community College District,8/17/2018,unauthorized access to employee email account,12 (in Maryland),Maryland,2018-08-17
BMW Bank of North America,8/17/2018,inadvertently viewable due to improper setting,2 (in Maryland),Maryland,2018-08-17
BMW Bank of North America,8/17/2018,inadvertently viewable due to improper setting,2 (in Maryland),Maryland,2018-08-17
Broad Street Capital Advisors,8/20/2018,unauthorized access to employee email,1 (in Maryland),Maryland,2018-08-20
"CNG Financial Corporation, Inc.",8/20/2018,USB drive lost during shipping,19 (in Maryland),Maryland,2018-08-20
Nazareth College,8/21/2018,unauthorized access to an external storage device,1 (in Maryland),Maryland,2018-08-21
Cain Watters &amp; Associates,8/21/2018,unauthorized access to email account,9 (in Maryland),Maryland,2018-08-21
"Aqua Finance, Inc.",8/21/2018,improper access by employee,23 (in Maryland),Maryland,2018-08-21
"Progressions Companies, Inc.",8/21/2018,phishing,1 (in Maryland),Maryland,2018-08-21
"Munro and Company, Inc.",8/21/2018,unauthorized access,32 (in Maryland),Maryland,2018-08-21
ChoiceOne Urgent Care,8/21/2018,phishing,1 (in Maryland),Maryland,2018-08-21
"Chipotle Mexican Grill, Inc.",8/22/2018,phishing,1 (in Maryland),Maryland,2018-08-22
Cheddar&#39;s Scratch Kitchen,8/22/2018,unauthorized access, (in Maryland),Maryland,2018-08-22
Cheddar&#39;s Scratch Kitchen,8/22/2018,unauthorized access, (in Maryland),Maryland,2018-08-22
Redhorse Corporation,8/22/2018,unauthorized access to email account,2 (in Maryland),Maryland,2018-08-22
"Falcon Point Capital, LLC",8/22/2018,unauthorized access to employee inbox,1 (in Maryland),Maryland,2018-08-22
Cortland Partners,8/23/2018,unauthorized access to email account,2 (in Maryland),Maryland,2018-08-23
Sierra Nevada Brewing Co.,8/27/2018,malware,6 (in Maryland),Maryland,2018-08-27
"The Arc of Southern Maryland, Inc.",8/27/2018,unauthorized access to email account,"1,022 (in Maryland)",Maryland,2018-08-27
"Affiliated Service Providers of Indiana, Inc.",8/27/2018,unauthorized access to employee email,1 (in Maryland),Maryland,2018-08-27
"ESJ Towers, Inc.",8/27/2018,phishing,6 (in Maryland),Maryland,2018-08-27
Salter Labs,8/27/2018,phishing,5 (in Maryland),Maryland,2018-08-27
"Joint Commission Resources, Inc.",8/28/2018,info inadvertently accessible online,5 (in Maryland),Maryland,2018-08-28
NorthStar Anesthesia,8/28/2018,phishing,14 (in Maryland),Maryland,2018-08-28
"Chapman &amp; Chapman, Inc.",8/28/2018,unauthorized access to employee email,1 (in Maryland),Maryland,2018-08-28
"SureFire, LLC",8/29/2018,unauthorized access to web server,39 (in Maryland),Maryland,2018-08-29
"Lipscomb &amp; Pitts Insurance, LLC",8/29/2018,unauthorized access to employee email accounts,1 (in Maryland),Maryland,2018-08-29
"Garretson Resolution Group, Inc.",8/30/2018,phishing,11 (in Maryland),Maryland,2018-08-30
Dutch Gardens USA,8/30/2018,malware,329 (in Maryland),Maryland,2018-08-30
LÃLLÃ‰baby,8/30/2018,malware,560 (in Maryland),Maryland,2018-08-30
LÃLLÃ‰baby,8/30/2018,malware,560 (in Maryland),Maryland,2018-08-30
Woodforest National Bank,8/30/2018,phishing,1 (in Maryland),Maryland,2018-08-30
"North American Risk Services, Inc.",8/31/2018,unauthorized access to employee email account,3 (in Maryland),Maryland,2018-08-31
"TKC Holdings, Inc.",8/31/2018,unauthorized access to employee email account,56 (in Maryland),Maryland,2018-08-31
"TKC Holdings, Inc.",8/31/2018,unauthorized access to employee email account,56 (in Maryland),Maryland,2018-08-31
Sterling National Bank,8/31/2018,unauthorized access to employee email account,1 (in Maryland),Maryland,2018-08-31
Air Canadas Mobile+ App,8/31/2018,cyber attack,8 (in Maryland),Maryland,2018-08-31
"Posternak Blankstein &amp; Lund, LLP",8/31/2018,phishing,1 (in Maryland),Maryland,2018-08-31
Movement Mortgage LLC,8/31/2018,unauthorized access to employee email accounts,675 (in Maryland),Maryland,2018-08-31
"North American Risk Services, Inc.",8/31/2018,unauthorized access to employee email account,3 (in Maryland),Maryland,2018-08-31
Academy Mortgage Corporation,8/31/2018,unauthorized access to employee email accounts,3 (in Maryland),Maryland,2018-08-31
HIAS Inc.,9/4/2018,electronics stolen during burglary,142 (in Maryland),Maryland,2018-09-04
Humana,9/4/2018,spoofing,1 (in Maryland),Maryland,2018-09-04
Chesapeake Employers&#39; Insurance Company,9/5/2018,unauthorized access,14 (in Maryland),Maryland,2018-09-05
"Towne Park, LLC",9/5/2018,phishing,34 (in Maryland),Maryland,2018-09-05
"VenatoRx Pharmaceuticals, Inc.",9/6/2018,unauthorized access to employee email,3 (in Maryland),Maryland,2018-09-06
"VenatoRx Pharmaceuticals, Inc.",9/6/2018,unauthorized access to employee email,3 (in Maryland),Maryland,2018-09-06
Sanibel Captiva Trust Company,9/6/2018,unauthorized access to email system,6 (in Maryland),Maryland,2018-09-06
Title Nine,9/7/2018,malware,14 (in Maryland),Maryland,2018-09-07
"Stein Mart, Inc.",9/7/2018,malware,83 (in Maryland),Maryland,2018-09-07
Ohio Living,9/7/2018,unauthorized access to employee email,1 (in Maryland),Maryland,2018-09-07
Nardella &amp; Taylor,9/7/2018,phishing,79 (in Maryland),Maryland,2018-09-07
Zurich NA,9/7/2018,improper access by employee,2 (in Maryland),Maryland,2018-09-07
"Banker&#39;s Insurance Group, Inc.",9/7/2018,unauthorized access to email account,1 (in Maryland),Maryland,2018-09-07
"Roadrunner Transportation Systems, Inc.",9/10/2018,phishing, (in Maryland),Maryland,2018-09-10
"Roadrunner Transportation Systems, Inc.",9/10/2018,phishing, (in Maryland),Maryland,2018-09-10
Commonwealth Foreign Exchange,9/10/2018,email system compromised,3 (in Maryland),Maryland,2018-09-10
Commonwealth Foreign Exchange,9/10/2018,email system compromised,3 (in Maryland),Maryland,2018-09-10
"Roadrunner Transportation Systems, Inc.",9/10/2018,phishing, (in Maryland),Maryland,2018-09-10
"C&amp;J Financial, LLC",9/11/2018,spear phishing, (in Maryland),Maryland,2018-09-11
"Peaceful Valley Farm Supply, Inc.",9/11/2018,malware,268 (in Maryland),Maryland,2018-09-11
Delta Pilots Mutual Aid,9/11/2018,phishing,5 (in Maryland),Maryland,2018-09-11
"Star America Infrastructure Fund, L.P.",9/12/2018,phishing,1 (in Maryland),Maryland,2018-09-12
"Garvey Schubert Barer, P.C.",9/13/2018,info improperly accessed by former attorney,5 (in Maryland),Maryland,2018-09-13
HealthFitness Inc.,9/14/2018,files inadvertently accessible via the internet,8 (in Maryland),Maryland,2018-09-14
Southgate Church,9/14/2018,ransomware,1 (in Maryland),Maryland,2018-09-14
Insmed Incorporated,9/14/2018,unauthorized access to employee email account,4 (in Maryland),Maryland,2018-09-14
Matrix Service Company,9/14/2018,unauthorized access to employee email,1 (in Maryland),Maryland,2018-09-14
HealthFitness Inc.,9/14/2018,files inadvertently accessible via the internet,8 (in Maryland),Maryland,2018-09-14
HealthFitness Inc.,9/14/2018,files inadvertently accessible via the internet,8 (in Maryland),Maryland,2018-09-14
HSBC,9/14/2018,info inadvertently emailed to unauthorized third party,1 (in Maryland),Maryland,2018-09-14
HSBC,9/14/2018,info inadvertently emailed to unauthorized third party,1 (in Maryland),Maryland,2018-09-14
"Monroe Capital Holdings, LLC d/b/a Newport Academy",9/17/2018,unauthorized access to email account,7 (in Maryland),Maryland,2018-09-17
Lion Equity Partners,9/17/2018,phishing,2 (in Maryland),Maryland,2018-09-17
"Prime Mortgage Lending, Inc.",9/17/2018,phishing,12 (in Maryland),Maryland,2018-09-17
"Ebbs, Roberts, Head &amp; Daw Inc.",9/17/2018,phishing,8 (in Maryland),Maryland,2018-09-17
"Ebbs, Roberts, Head &amp; Daw Inc.",9/17/2018,phishing,8 (in Maryland),Maryland,2018-09-17
Comfort Inn Petersburg,9/17/2018,unauthorized access to front desk computer and an email account,1 (in Maryland),Maryland,2018-09-17
Comfort Inn Petersburg,9/17/2018,unauthorized access to front desk computer and an email account,1 (in Maryland),Maryland,2018-09-17
"Performance Food Group, Inc.",9/18/2018,unauthorized access to employee email,426 (in Maryland),Maryland,2018-09-18
Archdiocese of Washington,9/18/2018,stolen laptop,237 (in Maryland),Maryland,2018-09-18
